id,name,domain_type,tld_managers
domain_name_coffee,"coffee","generic","Binky Moon, LLC"
domain_name_college,"college","generic","XYZ.COM LLC"
domain_name_cologne,"cologne","generic","dotKoeln GmbH"
domain_name_com,"com","generic","VeriSign Global Registry Services"
domain_name_comcast,"comcast","generic","Comcast IP Holdings I, LLC"
domain_name_commbank,"commbank","generic","COMMONWEALTH BANK OF AUSTRALIA"
domain_name_community,"community","generic","Binky Moon, LLC"
domain_name_company,"company","generic","Binky Moon, LLC"
domain_name_compare,"compare","generic","Registry Services, LLC"
domain_name_computer,"computer","generic","Binky Moon, LLC"
domain_name_comsec,"comsec","generic","VeriSign, Inc."
domain_name_condos,"condos","generic","Binky Moon, LLC"
domain_name_construction,"construction","generic","Binky Moon, LLC"
domain_name_consulting,"consulting","generic","Dog Beach, LLC"
domain_name_contact,"contact","generic","Dog Beach, LLC"
domain_name_contractors,"contractors","generic","Binky Moon, LLC"
domain_name_cooking,"cooking","generic","Registry Services, LLC"
domain_name_cookingchannel,"cookingchannel","generic","Lifestyle Domain Holdings, Inc."
domain_name_cool,"cool","generic","Binky Moon, LLC"
domain_name_coop,"coop","sponsored","DotCooperation LLC"
domain_name_corsica,"corsica","generic","Collectivité de Corse"
domain_name_country,"country","generic","Internet Naming Co."
domain_name_coupon,"coupon","generic","Amazon Registry Services, Inc."
domain_name_coupons,"coupons","generic","Binky Moon, LLC"
domain_name_courses,"courses","generic","Registry Services, LLC"
domain_name_cpa,"cpa","generic","American Institute of Certified Public Accountants"
domain_name_cr,"cr","country-code","National Academy of Sciences Academia Nacional de Ciencias"
domain_name_credit,"credit","generic","Binky Moon, LLC"
domain_name_creditcard,"creditcard","generic","Binky Moon, LLC"
domain_name_creditunion,"creditunion","generic","DotCooperation, LLC"
domain_name_cricket,"cricket","generic","dot Cricket Limited"
domain_name_crown,"crown","generic","Crown Equipment Corporation"
domain_name_crs,"crs","generic","Federated Co-operatives Limited"
domain_name_cruise,"cruise","generic","Viking River Cruises (Bermuda) Ltd."
domain_name_cruises,"cruises","generic","Binky Moon, LLC"
domain_name_csc,"csc","generic","Not assigned"
domain_name_cu,"cu","country-code","CENIAInternet Industria y San Jose Capitolio Nacional"
domain_name_cuisinella,"cuisinella","generic","SCHMIDT GROUPE S.A.S."
domain_name_cv,"cv","country-code","Agência Reguladora Multissectorial da Economia (ARME)"
domain_name_cw,"cw","country-code","University of Curacao"
domain_name_cx,"cx","country-code","Christmas Island Domain Administration Limited"
domain_name_cy,"cy","country-code","University of Cyprus"
domain_name_cymru,"cymru","generic","Nominet UK"
domain_name_cyou,"cyou","generic","Shortdot SA"
domain_name_cz,"cz","country-code","CZ.NIC, z.s.p.o"
domain_name_dabur,"dabur","generic","Dabur India Limited"
domain_name_dad,"dad","generic","Charleston Road Registry Inc."
domain_name_dance,"dance","generic","Dog Beach, LLC"
domain_name_data,"data","generic","Dish DBS Corporation"
domain_name_date,"date","generic","dot Date Limited"
domain_name_dating,"dating","generic","Binky Moon, LLC"
domain_name_datsun,"datsun","generic","NISSAN MOTOR CO., LTD."
domain_name_day,"day","generic","Charleston Road Registry Inc."
domain_name_dclk,"dclk","generic","Charleston Road Registry Inc."
domain_name_dds,"dds","generic","Registry Services, LLC"
domain_name_de,"de","country-code","DENIC eG"
domain_name_deal,"deal","generic","Amazon Registry Services, Inc."
domain_name_dealer,"dealer","generic","Intercap Registry Inc."
domain_name_deals,"deals","generic","Binky Moon, LLC"
domain_name_degree,"degree","generic","Dog Beach, LLC"
domain_name_delivery,"delivery","generic","Binky Moon, LLC"
domain_name_dell,"dell","generic","Dell Inc."
domain_name_deloitte,"deloitte","generic","Deloitte Touche Tohmatsu"
domain_name_delta,"delta","generic","Delta Air Lines, Inc."
domain_name_democrat,"democrat","generic","Dog Beach, LLC"
domain_name_dental,"dental","generic","Binky Moon, LLC"
domain_name_dentist,"dentist","generic","Dog Beach, LLC"
domain_name_desi,"desi","generic","Desi Networks LLC"
domain_name_design,"design","generic","Registry Services, LLC"
domain_name_dev,"dev","generic","Charleston Road Registry Inc."
domain_name_dhl,"dhl","generic","Deutsche Post AG"
domain_name_diamonds,"diamonds","generic","Binky Moon, LLC"
domain_name_diet,"diet","generic","XYZ.COM LLC"
domain_name_digital,"digital","generic","Binky Moon, LLC"
domain_name_direct,"direct","generic","Binky Moon, LLC"
domain_name_directory,"directory","generic","Binky Moon, LLC"
domain_name_discount,"discount","generic","Binky Moon, LLC"
domain_name_discover,"discover","generic","Discover Financial Services"
domain_name_dish,"dish","generic","Dish DBS Corporation"
domain_name_diy,"diy","generic","Lifestyle Domain Holdings, Inc."
domain_name_dj,"dj","country-code","Djibouti Telecom S.A"
domain_name_dk,"dk","country-code","Dansk Internet Forum"
domain_name_dm,"dm","country-code","DotDM Corporation"
domain_name_dnp,"dnp","generic","Dai Nippon Printing Co., Ltd."
domain_name_do,"do","country-code","Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino"
domain_name_docs,"docs","generic","Charleston Road Registry Inc."
domain_name_doctor,"doctor","generic","Binky Moon, LLC"
domain_name_dodge,"dodge","generic","Not assigned"
domain_name_dog,"dog","generic","Binky Moon, LLC"
domain_name_doha,"doha","generic","Not assigned"
domain_name_domains,"domains","generic","Binky Moon, LLC"
domain_name_doosan,"doosan","generic","Not assigned"
domain_name_dot,"dot","generic","Dish DBS Corporation"
