id,name,domain_type,tld_managers
domain_name_world,"world","generic","Binky Moon, LLC"
domain_name_wow,"wow","generic","Amazon Registry Services, Inc."
domain_name_ws,"ws","country-code","Government of Samoa Ministry of Foreign Affairs & Trade"
domain_name_wtc,"wtc","generic","World Trade Centers Association, Inc."
domain_name_wtf,"wtf","generic","Binky Moon, LLC"
domain_name_xbox,"xbox","generic","Microsoft Corporation"
domain_name_xerox,"xerox","generic","Xerox DNHC LLC"
domain_name_xfinity,"xfinity","generic","Comcast IP Holdings I, LLC"
domain_name_xihuan,"xihuan","generic","QIHOO 360 TECHNOLOGY CO. LTD."
domain_name_xin,"xin","generic","Elegant Leader Limited"
domain_name_xperia,"xperia","generic","Not assigned"
domain_name_xxx,"xxx","sponsored","ICM Registry LLC"
domain_name_xyz,"xyz","generic","XYZ.COM LLC"
domain_name_yachts,"yachts","generic","XYZ.COM LLC"
domain_name_yahoo,"yahoo","generic","OATH INC"
domain_name_yamaxun,"yamaxun","generic","Amazon Registry Services, Inc."
domain_name_yandex,"yandex","generic","Yandex Europe B.V."
domain_name_ye,"ye","country-code","TeleYemen"
domain_name_yodobashi,"yodobashi","generic","YODOBASHI CAMERA CO.,LTD."
domain_name_yoga,"yoga","generic","Registry Services, LLC"
domain_name_yokohama,"yokohama","generic","GMO Registry, Inc."
domain_name_you,"you","generic","Amazon Registry Services, Inc."
domain_name_youtube,"youtube","generic","Charleston Road Registry Inc."
domain_name_yt,"yt","country-code","Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)"
domain_name_yun,"yun","generic","QIHOO 360 TECHNOLOGY CO. LTD."
domain_name_za,"za","country-code","ZA Domain Name Authority"
domain_name_zappos,"zappos","generic","Amazon Registry Services, Inc."
domain_name_zara,"zara","generic","Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
domain_name_zero,"zero","generic","Amazon Registry Services, Inc."
domain_name_zip,"zip","generic","Charleston Road Registry Inc."
domain_name_zippo,"zippo","generic","Not assigned"
domain_name_zm,"zm","country-code","Zambia Information and Communications Technology Authority (ZICTA)"
domain_name_zone,"zone","generic","Binky Moon, LLC"
domain_name_zuerich,"zuerich","generic","Kanton Zürich (Canton of Zurich)"
domain_name_zw,"zw","country-code","Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)"
